id,school,nickname,abbreviation,home_url,arena,logo_url,conference_id
25,Fordham,Rams,,http://www.espn.com/mens-college-basketball/team/_/id/2230/fordham-rams,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2230.png,3
26,George Mason,Patriots,,http://www.espn.com/mens-college-basketball/team/_/id/2244/george-mason-patriots,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2244.png,3
27,George Washington,Colonials,,http://www.espn.com/mens-college-basketball/team/_/id/45/george-washington-colonials,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/45.png,3
28,La Salle,Explorers,,http://www.espn.com/mens-college-basketball/team/_/id/2325/la-salle-explorers,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2325.png,3
29,Massachusetts,Minutemen,,http://www.espn.com/mens-college-basketball/team/_/id/113/massachusetts-minutemen,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/113.png,3
30,Rhode Island,Rams,,http://www.espn.com/mens-college-basketball/team/_/id/227/rhode-island-rams,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/227.png,3
31,Richmond,Spiders,,http://www.espn.com/mens-college-basketball/team/_/id/257/richmond-spiders,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/257.png,3
32,Saint Joseph's,Hawks,,http://www.espn.com/mens-college-basketball/team/_/id/2603/saint-joseph's-hawks,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2603.png,3
33,Saint Louis,Billikens,,http://www.espn.com/mens-college-basketball/team/_/id/139/saint-louis-billikens,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/139.png,3
34,St. Bonaventure,Bonnies,,http://www.espn.com/mens-college-basketball/team/_/id/179/st.-bonaventure-bonnies,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/179.png,3
35,VCU,Rams,,http://www.espn.com/mens-college-basketball/team/_/id/2670/vcu-rams,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2670.png,3
36,Boston College,Eagles,,http://www.espn.com/mens-college-basketball/team/_/id/103/boston-college-eagles,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/103.png,4
37,Clemson,Tigers,,http://www.espn.com/mens-college-basketball/team/_/id/228/clemson-tigers,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/228.png,4
38,Duke,Blue Devils,,http://www.espn.com/mens-college-basketball/team/_/id/150/duke-blue-devils,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png,4
39,Florida St,Seminoles,,http://www.espn.com/mens-college-basketball/team/_/id/52/florida-st-seminoles,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/52.png,4
40,Georgia Tech,Yellow Jackets,,http://www.espn.com/mens-college-basketball/team/_/id/59/georgia-tech-yellow-jackets,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/59.png,4
41,Louisville,Cardinals,,http://www.espn.com/mens-college-basketball/team/_/id/97/louisville-cardinals,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/97.png,4
